sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,disp_final
miura_00018,miura,1,0,bending,0.3,201029.334224144,200967.14484142352,0.00030935476636029995,9.637488706679396e-05,0.0001492781321229
miura_00018,miura,1,1,bending,0.6,60206.7779326139,60200.062057399366,0.00011154682986108315,3.4694755825368395e-05,0.0004983383567179
miura_00018,miura,1,2,bending,0.9,25471.5911531028,25473.14703455249,6.108300970829844e-05,1.915430310276824e-05,0.0011777107853736
miura_00018,miura,1,3,axial,0.3,15477.6952007245,15606.851748535022,0.008344688672023755,0.0026634745820583714,0.0019222326503368
miura_00018,miura,1,4,axial,0.6,30219.3855531383,30595.217025147707,0.012436767496431625,0.003963371663239311,0.0009805454223561
miura_00018,miura,1,5,axial,0.9,336628.328232937,338661.4127407307,0.006039552637966994,0.0019318819405413493,8.8584051419425e-05
miura_00019,miura,1,0,bending,0.3,8886.14495477368,8915.727059277244,0.003329014398721113,0.0010431835521201595,0.0033648405565291
miura_00019,miura,1,1,bending,0.6,3010.49333995366,3033.882278206191,0.0077691380153962685,0.002407516906809497,0.0098883203924899
miura_00019,miura,1,2,bending,0.9,2497.21084575531,2503.4777646191087,0.002509567373716601,0.0008015903550148743,0.0119833299196745
miura_00019,miura,1,3,axial,0.3,32309.0618697945,32481.65138417589,0.005341829950895081,0.0017107586498337094,0.000923598361585
miura_00019,miura,1,4,axial,0.6,50688.3628276448,50968.25226650202,0.005521769164431848,0.0017666852745832054,0.0005886017013716
miura_00019,miura,1,5,axial,0.9,227691.932227353,228808.3139332042,0.004903035847297644,0.001568780325197,0.0001311141168094
miura_00020,miura,1,0,bending,0.3,311639.192246058,311623.84773065796,4.92380797468829e-05,1.5399086054179973e-05,9.62699107223961e-05
miura_00020,miura,1,1,bending,0.6,91993.7362266784,91988.08422464975,6.143898770160143e-05,1.990746727763885e-05,0.0003261291965461
miura_00020,miura,1,2,bending,0.9,25371.258832679,25371.1844958796,2.929961019683244e-06,1.9190091119944534e-06,0.001182443807654
miura_00020,miura,1,3,axial,0.3,42398.5857987933,42539.12366928696,0.0033146829745830607,0.0010615337693889299,0.0007052331456856
miura_00020,miura,1,4,axial,0.6,73728.7393389353,73994.48542277783,0.0036043758000646408,0.0011538714034015206,0.0004054356190004
miura_00020,miura,1,5,axial,0.9,449543.820057943,450638.575133773,0.0024352577590519885,0.0007798252005952574,6.65721970008769e-05
miura_00021,miura,1,0,bending,0.3,101202.266140132,101208.97808033632,6.63220346769501e-05,3.090067556544972e-05,0.0002964163908086
miura_00021,miura,1,1,bending,0.6,29074.4950013646,29083.822471747684,0.0003208128080176526,0.00010464275314462993,0.0010315012763244
miura_00021,miura,1,2,bending,0.9,11986.3693522246,12000.002195287601,0.00113736217051177,0.00036131270846634866,0.0024999995426485
miura_00021,miura,1,3,axial,0.3,24028.419146629,24147.230386851443,0.004944613272201538,0.0015815052181135745,0.0012423785055008
miura_00021,miura,1,4,axial,0.6,41217.4918368646,41516.034737770664,0.00724311178583279,0.002313844297634771,0.0007226123638611
miura_00021,miura,1,5,axial,0.9,298338.298883899,300109.07879915804,0.005935476343076421,0.0018982875525687503,9.99636536156805e-05
miura_00022,miura,1,0,bending,0.3,107589.261936142,107513.68065638769,0.000702498357123819,0.00021881618114551586,0.0002790342570066
miura_00022,miura,1,1,bending,0.6,33375.4445129431,33368.58879780296,0.00020541195001856603,6.381780311873741e-05,0.0008990491081833
miura_00022,miura,1,2,bending,0.9,16954.0796155638,16956.54173225976,0.00014522266922106864,4.5525210350205884e-05,0.0017692286831651
miura_00022,miura,1,3,axial,0.3,11131.4414081084,11257.691210893241,0.011341729984122107,0.0036141683084620984,0.0026648448103614
miura_00022,miura,1,4,axial,0.6,20898.3315868322,21261.013540985285,0.017354588936736345,0.005517264146674719,0.0014110333894557
miura_00022,miura,1,5,axial,0.9,223310.521979195,225465.99414584014,0.00965235380554954,0.003081604409380639,0.0001330577593914
miura_00023,miura,1,0,bending,0.3,5526.55237626838,5543.481808929466,0.003063290005860249,0.0009497157828272428,0.0054117612421269
miura_00023,miura,1,1,bending,0.6,1846.13551056583,1879.6033117338368,0.018128572348272084,0.005602590358453423,0.0159608146105715
miura_00023,miura,1,2,bending,0.9,1372.36596090856,1393.7610260316853,0.015589912408612136,0.004819970751016466,0.0215244933956978
miura_00023,miura,1,3,axial,0.3,18163.8426061622,18362.515438770377,0.010937819541597142,0.003499459672537727,0.0016337630919922
miura_00023,miura,1,4,axial,0.6,27655.3077837221,27906.92696531021,0.009098404673558295,0.0029075207583926853,0.0010750019175272
miura_00023,miura,1,5,axial,0.9,97261.0482919767,97999.06703354957,0.007588019608398087,0.002424418557062469,0.0003061253633132
miura_00024,miura,1,0,bending,0.3,173250.608504096,173270.11432966415,0.00011258734232788572,4.2196091834432054e-05,0.0001731400715932
miura_00024,miura,1,1,bending,0.6,49251.1991534941,49260.207738049845,0.00018291096888163166,5.855810868125514e-05,0.0006090108299894
miura_00024,miura,1,2,bending,0.9,19981.3348899712,19993.03257721356,0.0005854307185567235,0.00018667566580382597,0.0015005227388161
miura_00024,miura,1,3,axial,0.3,47050.7681123706,47178.0152504391,0.002704464627752721,0.0008658603203269581,0.0006358894040105
miura_00024,miura,1,4,axial,0.6,80615.6835385225,80916.87879197896,0.003736186809264419,0.0011954906689776695,0.000370750830332
miura_00024,miura,1,5,axial,0.9,567387.233319378,569087.8023071558,0.002997192900920575,0.0009587315882977882,5.27159427391979e-05
miura_00025,miura,1,0,bending,0.3,9552.55990592778,9580.573862186791,0.002932612465652078,0.0009194937846726199,0.0031313364347
