sample_id,source_name,source_row,pattern,m,n,tcrease,tpanel,W,creaseE,panelE,bendstiff30,bendstiff60,bendstiff90,axialstiff30,axialstiff60,axialstiff90
miura_01021,miura,1021,1,30,6,0.0005371871515599,0.0022404177730393,0.0026714968020123,1350146430.29074,1010054179.53458,22049.2124829205,7678.46588017126,3952.87929653476,4849.26038852312,8043.2534643884,44870.4291880946
miura_00564,miura,564,1,24,6,0.0009784573210529,0.0030946675302398,0.0011199085992709,1528466641.89692,1697673823.91012,135537.767220698,48588.5421627774,17685.6203908712,55909.1538524493,87326.5385529065,310425.862672507
miura_01265,miura,1265,1,24,9,0.0005574055559276,0.0048604979602168,0.0032894380136254,3509308895.71142,1959087634.81668,148594.878969908,44365.9238816901,18470.116446436,11459.150930276,22364.4236161529,246346.076060204
miura_00743,miura,743,1,36,9,0.0005980491387131,0.0025220143737362,0.0028755399562197,3442608973.22434,3638153240.77352,65683.0801397996,20522.7322302547,9991.39648969258,19723.9083464806,32678.2022351017,196169.568821466
miura_00864,miura,864,1,36,9,0.0006654509175811,0.0022195083557634,0.001057533523793,3206792067.06309,3693906672.42597,106661.302040381,32292.8219451928,11946.9790312171,63120.6909486865,97601.6349320185,382050.942920165
miura_01599,miura,1599,1,36,12,0.0007996371072604,0.0041659026303411,0.0034743723166764,1075827449.14235,3557978454.39992,140850.939999423,39806.8656923778,15423.3815910444,14513.2655255739,27082.7672541033,279264.300825252
miura_01715,miura,1715,1,30,6,0.0005712320344901,0.0034088672421734,0.0034196986092704,3056236877.81679,1418306470.64973,70372.2201334741,25328.2005717012,10701.4982233595,10486.7593157615,17928.5854596945,106820.198725687
miura_01485,miura,1485,1,24,12,0.0005694306432292,0.0035017698752542,0.0032154896780135,1409195646.44127,4169203823.69114,87010.6981359122,27142.9195681829,15748.7948428814,6005.99274970458,12324.4641681904,222992.172980104
miura_00892,miura,892,1,30,9,0.0008208282162898,0.0042077493970677,0.0039920876979323,4832167939.54303,4736493843.03695,231985.220144894,70464.5901980522,30167.2308601114,44285.9988668657,76268.6350576439,527142.222982466
miura_01578,miura,1578,1,36,12,0.0008960618789336,0.0034454875051478,0.0038940621755702,3767974307.74851,1548573909.25553,33059.8167437122,9821.42620077138,4639.47193567764,49929.4010170949,77514.6553725973,321012.263821981
miura_01039,miura,1039,1,24,12,0.0005296662910193,0.0054417636359063,0.0031667567284794,3927238058.0659,3509880455.88263,256338.311406439,71818.1549245776,28235.2575589761,13767.6826581758,29352.9804292966,467430.359173348
miura_00207,miura,207,1,24,12,0.0008978484357978,0.0054361915698588,0.0017577464860103,1009986830.10715,2200706239.79556,262931.311559265,68075.5238118501,21330.8366354067,25103.502900261,47909.3981166042,481794.131949067
